x,y,flux(W/m2)
-0.84,3.4,0.0144351
-0.76,3.4,0.0135039
-0.68,3.4,0.0149008
-0.6,3.4,0.0139695
-0.52,3.4,0.0151336
-0.44,3.4,0.0121069
-0.36,3.4,0.00791605
-0.28,3.4,0.0162978
-0.2,3.4,0.0116413
-0.12,3.4,0.0158321
-0.04,3.4,0.0121069
0.04,3.4,0.0151336
0.12,3.4,0.0114084
0.2,3.4,0.0123397
0.28,3.4,0.014668
0.36,3.4,0.0128054
0.44,3.4,0.0135039
0.52,3.4,0.0130382
0.6,3.4,0.0135039
0.68,3.4,0.0109428
0.76,3.4,0.0151336
0.84,3.4,0.0155993
0.92,3.4,0.0137367
1,3.4,0.0107099
1.08,3.4,0.0111756
1.16,3.4,0.013271
1.24,3.4,0.0104771
1.32,3.4,0.0100114
1.4,3.4,0.0109427
1.48,3.4,0.0107099
1.56,3.4,0.0109427
1.64,3.4,0.00838166
1.72,3.4,0.0107099
1.8,3.4,0.0130381
1.88,3.4,0.00908011
1.96,3.4,0.00977858
2.04,3.4,0.010477
2.12,3.4,0.010477
2.2,3.4,0.00698469
2.28,3.4,0.00977855
2.36,3.4,0.0102442
2.44,3.4,0.00908007
2.52,3.4,0.00908007
2.6,3.4,0.0102442
2.68,3.4,0.00977851
2.76,3.4,0.00582054
2.84,3.4,0.00628618
2.92,3.4,0.00908002
3,3.4,0.00977848
3.08,3.4,0.00745026
3.16,3.4,0.00745026
3.24,3.4,0.00861435
3.32,3.4,0.00651896
3.4,3.4,0.00465639
3.48,3.4,0.00651894
3.56,3.4,0.00675176
3.64,3.4,0.010244
3.72,3.4,0.00558765
3.8,3.4,0.00488919
3.88,3.4,0.00488918
3.96,3.4,0.00372508
-3.96,3.32,0.00698454
-3.88,3.32,0.00605327
-3.8,3.32,0.00512201
-3.72,3.32,0.00512201
-3.64,3.32,0.00395793
-3.56,3.32,0.0072174
-3.48,3.32,0.00791587
-3.4,3.32,0.00535486
-3.32,3.32,0.00582051
-3.24,3.32,0.00745026
-3.16,3.32,0.00582052
-3.08,3.32,0.00651899
-3,3.32,0.0102441
-2.92,3.32,0.00698464
-2.84,3.32,0.00838158
-2.76,3.32,0.0095457
-2.68,3.32,0.00814877
-2.6,3.32,0.00791596
-2.52,3.32,0.00908007
-2.44,3.32,0.00908008
-2.36,3.32,0.00908009
-2.28,3.32,0.00931292
-2.2,3.32,0.0109427
-2.12,3.32,0.0104771
-2.04,3.32,0.00908011
